level,algorithm,search_time,memory_usage,number_of_explored_states,total_cost
2,DFS,1.5921690000104718,98.2109375,16180,0
2,A*,4.007255100004841,106.046875,24711,193
6,BFS,2.319061500020325,88.26953125,1405,0
11,A*,2.4133800000417978,88.7265625,1691,70
11,DFS,2.297622899990529,89.33984375,1818,0
2,UCS,3.844928800011985,105.17578125,27794,193
6,A*,2.3739615000085905,88.41015625,1356,113
10,BFS,1.4243046000483446,88.3984375,3738,0
6,UCS,2.3225076000089757,87.390625,1397,113
10,BFS,1.4305633000331,88.09375,3738,0
10,UCS,1.4281663000001572,88.69921875,3872,125
2,A*,3.857978500018362,103.625,24706,193
